Employee_ID,Department,Gender,Age,Job_Title,Hire_Date,Years_At_Company,Education_Level,Performance_Score,Monthly_Salary,Work_Hours_Per_Week,Projects_Handled,Overtime_Hours,Sick_Days,Remote_Work_Frequency,Team_Size,Training_Hours,Promotions,Employee_Satisfaction_Score,Resigned,Resignation_Date
63,Sales,Male,27,Manager,2019-09-05 00:00:00,6,Bachelor,3,7800,44,29,12,0,51,18,73,1,2.26,False,
64,Finance,Female,58,Manager,2021-05-21 00:00:00,6,High School,4,8400,50,10,14,9,41,17,21,0,1.68,True,2023-07-19
65,Sales,Female,41,Specialist,2017-07-11 00:00:00,5,Bachelor,1,4950,41,37,13,9,49,5,3,0,4.33,False,
65,Sales,Female,41,Specialist,2018-05-23 00:00:00,5,Bachelor,1,4950,41,37,13,9,51,5,3,0,4.33,True,2024-07-02
67,Sales,Male,49,Manager,2018-01-23 00:00:00,7,Master,2,7200,55,30,19,0,54,19,93,0,4.26,True,2019-03-29
68,HR,Male,39,Consultant,2018-11-19 00:00:00,0,Bachelor,2,6600,53,10,17,14,44,3,64,2,2.45,False,
68,HR,Male,39,Consultant,2024-07-16 00:00:00,0,Bachelor,2,6600,53,10,17,14,56,3,64,2,2.45,True,2024-05-30
69,Operations,Female,38,Specialist,2017-01-03 00:00:00,8,Bachelor,4,6300,52,6,9,6,57,5,9,0,2.42,True,2024-10-05
69,Operations,Female,38,Specialist,2024-08-14 00:00:00,8,Bachelor,4,6300,52,6,9,6,49,5,9,0,2.42,False,
70,Sales,Male,52,Manager,2016-07-21 00:00:00,8,Master,1,6600,32,2,13,11,63,16,8,0,4.45,False,
71,IT,Female,42,Developer,2015-11-26 00:00:00,1,High School,1,5500,53,20,13,8,45,8,75,1,4.49,True,2020-06-13
72,Engineering,Female,42,Analyst,2023-01-13 00:00:00,1,Master,4,5600,53,1,16,11,63,11,15,2,3.55,False,
75,HR,Female,33,Consultant,2023-07-17 00:00:00,0,High School,2,6600,31,6,24,10,44,10,1,1,1.39,True,2021-03-05
75,HR,Female,33,Consultant,2023-01-08 00:00:00,0,High School,2,6600,31,6,24,10,64,10,1,1,1.39,False,
77,Customer Support,Male,31,Technician,2020-01-18 00:00:00,7,PhD,3,4550,32,46,19,0,32,19,82,0,3.2,True,2019-07-31
78,Sales,Male,28,Developer,2024-04-29 00:00:00,3,Master,5,7500,42,28,6,6,55,1,38,1,3.55,False,
80,Customer Support,Female,54,Specialist,2018-04-11 00:00:00,5,High School,1,4950,31,27,5,6,66,12,53,1,2.09,True,2021-01-09
81,Legal,Female,55,Developer,2017-05-24 00:00:00,0,Master,3,6500,38,12,25,6,65,13,94,0,3.75,False,
82,Customer Support,Female,23,Specialist,2020-10-17 00:00:00,7,High School,3,5850,40,19,14,14,47,14,0,0,3.4,False,
83,Engineering,Male,46,Analyst,2016-02-05 00:00:00,3,Bachelor,2,4800,35,24,10,13,36,4,85,0,1.33,True,2018-10-25
83,Engineering,Male,46,Analyst,2019-02-20 00:00:00,3,Bachelor,2,4800,35,24,10,13,46,4,85,0,1.33,False,
84,HR,Female,28,Analyst,2024-05-07 00:00:00,8,Master,1,4400,53,38,22,14,50,17,67,2,2.17,True,2020-02-03
86,Legal,Female,59,Engineer,2016-12-14 00:00:00,9,Bachelor,4,8400,33,11,7,4,59,5,40,2,2.37,False,
88,Marketing,Male,52,Technician,2021-06-23 00:00:00,5,Bachelor,2,4200,33,45,2,4,38,18,12,0,1.11,True,2023-03-18
89,Finance,Female,27,Engineer,2016-03-23 00:00:00,0,Master,2,7200,31,1,25,5,68,15,22,1,2.08,True,2019-12-07
89,Finance,Female,27,Engineer,2015-09-16 00:00:00,0,Master,2,7200,31,1,25,5,47,15,22,1,2.08,False,
90,Customer Support,Female,39,Manager,2015-02-11 00:00:00,6,Bachelor,4,8400,33,11,10,2,60,9,53,0,3.22,False,
91,Customer Support,Male,55,Consultant,2019-11-14 00:00:00,0,Bachelor,2,6600,44,42,5,6,59,9,26,2,3.23,False,
92,Legal,Male,48,Developer,2019-07-05 00:00:00,5,Bachelor,1,5500,42,11,26,12,47,15,84,1,3.69,True,2021-04-29
93,Finance,Male,50,Manager,2023-11-06 00:00:00,0,High School,4,8400,54,9,29,7,42,15,3,2,3.66,False,
94,Engineering,Male,52,Specialist,2018-01-19 00:00:00,3,High School,4,6300,44,19,10,7,45,1,81,1,4.1,False,
95,Operations,Male,52,Developer,2024-03-15 00:00:00,9,High School,1,5500,47,4,19,10,33,19,33,0,4.36,True,2019-01-12
97,Engineering,Male,58,Specialist,2019-07-13 00:00:00,9,PhD,3,5850,45,24,16,12,54,7,0,0,2.34,True,2022-06-19
97,Engineering,Male,58,Specialist,2023-11-09 00:00:00,9,PhD,3,5850,45,24,16,12,48,7,0,0,2.34,False,
98,Finance,Female,38,Manager,2021-04-23 00:00:00,8,High School,3,7800,41,31,12,10,68,9,64,0,4.2,False,
100,Customer Support,Other,33,Manager,2015-07-06 00:00:00,6,Bachelor,3,7800,36,9,10,14,58,13,30,1,3.19,False,
101,Finance,Female,45,Engineer,2019-04-11 00:00:00,6,High School,4,8400,35,0,18,14,56,17,48,0,3.42,False,
102,IT,Female,33,Consultant,2015-04-14 00:00:00,4,High School,1,6050,54,31,11,3,43,2,48,1,3.63,True,2022-07-18
103,IT,Male,33,Consultant,2015-12-31 00:00:00,4,Bachelor,3,7150,49,45,29,2,48,6,57,2,5.0,False,
105,Customer Support,Female,55,Technician,2019-11-15 00:00:00,5,High School,1,3850,58,1,1,0,38,4,29,1,2.3,True,2024-01-05
107,HR,Female,22,Developer,2017-12-01 00:00:00,3,Bachelor,4,7000,34,8,17,12,44,16,1,0,2.8,False,
108,Operations,Female,37,Engineer,2017-12-29 00:00:00,9,Bachelor,4,8400,56,26,7,9,66,15,12,2,4.68,False,
109,Sales,Male,56,Consultant,2019-11-22 00:00:00,6,Bachelor,1,6050,51,24,2,11,49,3,82,1,2.7,False,
109,Sales,Male,56,Consultant,2020-01-07 00:00:00,6,Bachelor,1,6050,51,24,2,11,55,3,82,1,2.7,True,2021-04-28
110,Sales,Male,36,Consultant,2018-01-20 00:00:00,5,High School,5,8250,50,32,28,5,31,9,56,0,1.64,True,2020-08-01
111,IT,Male,43,Technician,2019-05-21 00:00:00,0,Bachelor,2,4200,48,33,4,7,41,12,75,2,4.8,False,
112,Finance,Male,39,Analyst,2021-09-13 00:00:00,5,Bachelor,1,4400,31,5,25,12,49,3,34,0,3.51,True,2019-12-06
113,Legal,Female,30,Technician,2020-12-17 00:00:00,7,Master,4,4900,34,14,12,8,55,2,59,0,4.5,False,
114,Customer Support,Male,35,Consultant,2015-01-26 00:00:00,0,Bachelor,4,7700,43,14,0,14,49,5,31,2,3.58,False,
115,Legal,Female,48,Specialist,2018-08-02 00:00:00,1,Bachelor,2,5400,32,24,1,0,57,11,88,1,1.58,True,2024-06-18
115,Legal,Female,48,Specialist,2018-09-23 00:00:00,1,Bachelor,2,5400,32,24,1,0,75,11,88,1,1.58,False,
116,Customer Support,Female,56,Analyst,2023-09-08 00:00:00,3,Bachelor,5,6000,43,5,29,8,36,11,96,0,2.47,True,2023-11-30
117,Legal,Male,26,Manager,2018-11-06 00:00:00,3,High School,5,9000,33,4,15,3,74,17,44,2,3.24,False,
118,IT,Male,38,Consultant,2017-05-07 00:00:00,8,PhD,4,7700,54,44,17,3,47,1,81,1,4.2,False,
119,IT,Female,27,Manager,2024-06-07 00:00:00,4,Bachelor,5,9000,49,12,27,10,73,19,4,1,2.87,False,
120,Finance,Male,29,Specialist,2023-06-08 00:00:00,3,Bachelor,3,5850,47,15,6,1,79,11,65,0,4.37,False,
121,Customer Support,Male,26,Specialist,2021-04-26 00:00:00,5,Bachelor,1,4950,49,2,12,6,37,6,23,1,4.17,True,2023-04-17
122,Legal,Female,25,Technician,2021-04-30 00:00:00,4,High School,1,3850,30,42,4,11,59,6,13,1,2.94,False,
122,Legal,Female,25,Technician,2016-06-10 00:00:00,4,High School,1,3850,30,42,4,11,64,6,13,1,2.94,True,2023-03-18
123,Operations,Female,44,Manager,2020-01-22 00:00:00,9,Bachelor,4,8400,53,11,28,5,51,12,60,1,4.47,False,
123,Operations,Female,44,Manager,2021-07-10 00:00:00,9,Bachelor,4,8400,53,11,28,5,63,12,60,1,4.47,True,2022-11-03
124,Finance,Male,46,Consultant,2019-03-21 00:00:00,9,Bachelor,4,7700,35,31,19,7,43,14,19,0,1.14,True,2019-01-21
125,IT,Male,28,Engineer,2019-11-27 00:00:00,3,High School,3,7800,46,4,12,7,70,1,36,2,1.39,False,
126,Marketing,Male,34,Developer,2015-08-12 00:00:00,8,High School,1,5500,56,6,3,12,46,6,60,0,4.65,True,2019-11-14
127,Engineering,Other,59,Consultant,2014-11-04 00:00:00,9,Bachelor,2,6600,50,44,17,0,75,16,35,0,4.4,False,
128,Sales,Male,31,Consultant,2020-11-03 00:00:00,2,Bachelor,2,6600,59,27,22,6,65,1,44,2,1.74,True,2022-01-25
129,Sales,Male,51,Developer,2015-11-10 00:00:00,1,High School,5,7500,45,8,7,6,53,12,66,2,1.24,False,
130,Sales,Other,29,Engineer,2014-10-01 00:00:00,4,Bachelor,1,6600,39,10,25,1,69,1,66,2,1.61,True,2020-09-13
131,Engineering,Male,47,Specialist,2022-06-16 00:00:00,9,Master,5,6750,34,14,27,6,60,15,97,2,2.84,False,
132,HR,Male,32,Technician,2023-06-17 00:00:00,0,Bachelor,5,5250,52,14,28,5,33,17,34,0,2.87,True,2020-12-10
133,Marketing,Female,55,Manager,2020-05-27 00:00:00,3,High School,3,7800,49,9,15,9,31,12,92,0,1.96,True,2024-04-24
133,Marketing,Female,55,Manager,2015-04-17 00:00:00,3,High School,3,7800,49,9,15,9,54,12,92,0,1.96,False,
134,Operations,Female,29,Consultant,2023-12-17 00:00:00,5,High School,2,6600,55,41,13,2,43,13,44,1,3.83,False,
135,Operations,Male,24,Consultant,2020-10-06 00:00:00,2,Bachelor,2,6600,39,24,0,12,76,11,63,0,3.79,False,
136,Sales,Male,23,Analyst,2019-05-01 00:00:00,2,Bachelor,5,6000,56,28,29,1,51,12,94,0,3.03,False,
136,Sales,Male,23,Analyst,2022-08-10 00:00:00,2,Bachelor,5,6000,56,28,29,1,35,12,94,0,3.03,True,2024-12-31
137,Legal,Female,35,Analyst,2021-10-06 00:00:00,7,Bachelor,2,4800,46,21,17,2,33,6,9,1,1.25,True,2020-03-29
137,Legal,Female,35,Analyst,2017-01-11 00:00:00,7,Bachelor,2,4800,46,21,17,2,77,6,9,1,1.25,False,
138,Customer Support,Male,28,Manager,2019-03-26 00:00:00,5,Master,5,9000,40,9,12,2,63,17,34,2,4.83,False,
139,Finance,Male,38,Technician,2018-11-01 00:00:00,5,High School,2,4200,34,24,23,0,58,12,22,0,1.12,True,2022-09-15
140,Legal,Female,39,Specialist,2022-12-21 00:00:00,1,High School,1,4950,44,4,5,5,47,4,11,0,4.38,True,2024-06-11
140,Legal,Female,39,Specialist,2019-01-15 00:00:00,1,High School,1,4950,44,4,5,5,40,4,11,0,4.38,False,
142,Customer Support,Male,22,Specialist,2021-03-16 00:00:00,3,PhD,3,5850,52,6,8,14,60,6,45,1,4.61,False,
143,Legal,Female,60,Specialist,2016-11-21 00:00:00,7,Bachelor,2,5400,35,27,19,2,55,15,93,0,2.62,True,2024-08-19
143,Legal,Female,60,Specialist,2017-02-19 00:00:00,7,Bachelor,2,5400,35,27,19,2,45,15,93,0,2.62,False,
145,Operations,Female,26,Consultant,2023-06-03 00:00:00,1,Bachelor,1,6050,53,18,15,11,63,5,46,0,2.23,True,2024-01-09
146,Customer Support,Male,43,Consultant,2018-02-24 00:00:00,6,Master,2,6600,41,30,12,4,52,18,80,2,4.36,False,
147,Legal,Female,57,Engineer,2019-06-02 00:00:00,5,Bachelor,1,6600,39,41,7,13,57,7,1,0,3.3,False,
149,IT,Female,31,Technician,2016-11-10 00:00:00,7,Master,1,3850,59,3,13,0,39,13,78,2,4.75,True,2020-02-12
150,Finance,Female,55,Analyst,2017-08-01 00:00:00,3,Bachelor,1,4400,57,17,21,12,65,6,92,0,3.0,True,2020-09-29
153,Marketing,Female,54,Technician,2021-03-19 00:00:00,9,High School,5,5250,37,49,22,14,41,6,21,2,4.44,False,
154,Customer Support,Male,60,Specialist,2020-10-27 00:00:00,7,Bachelor,3,5850,49,19,1,7,42,12,15,2,4.88,False,
155,Legal,Male,51,Engineer,2023-06-04 00:00:00,9,Bachelor,3,7800,53,49,17,1,47,3,30,2,3.78,False,
156,Customer Support,Female,35,Specialist,2014-09-22 00:00:00,1,Master,1,4950,57,30,24,8,43,13,70,1,1.05,True,2021-12-23
157,Legal,Male,46,Manager,2017-07-14 00:00:00,4,Bachelor,1,6600,34,5,7,1,61,17,71,0,1.79,False,
157,Legal,Male,46,Manager,2015-06-22 00:00:00,4,Bachelor,1,6600,34,5,7,1,60,17,71,0,1.79,True,2022-05-17
158,Operations,Female,39,Analyst,2023-06-28 00:00:00,9,Bachelor,1,4400,55,45,14,5,44,7,11,2,3.34,True,2018-09-19
159,Legal,Female,41,Technician,2020-05-04 00:00:00,9,Master,1,3850,31,36,21,12,37,6,98,0,4.04,True,2022-03-24
161,Engineering,Male,36,Manager,2015-07-16 00:00:00,8,Master,1,6600,39,43,27,10,70,3,70,1,2.85,False,
161,Engineering,Male,36,Manager,2015-06-21 00:00:00,8,Master,1,6600,39,43,27,10,43,3,70,1,2.85,True,2018-06-19
163,Finance,Male,44,Technician,2022-07-04 00:00:00,1,Bachelor,5,5250,32,46,15,14,65,19,29,0,1.78,False,
163,Finance,Male,44,Technician,2015-12-27 00:00:00,1,Bachelor,5,5250,32,46,15,14,52,19,29,0,1.78,True,2021-05-02
164,Legal,Male,37,Analyst,2019-09-13 00:00:00,7,High School,1,4400,43,33,2,2,69,4,53,1,1.97,True,2021-03-13
165,Engineering,Male,26,Analyst,2023-01-19 00:00:00,3,High School,2,4800,54,26,23,0,50,16,43,0,1.82,True,2022-05-05
167,Sales,Male,36,Manager,2016-11-21 00:00:00,6,High School,4,8400,51,44,1,6,62,12,78,1,1.14,False,
168,Legal,Male,31,Analyst,2020-12-19 00:00:00,7,Bachelor,5,6000,49,48,25,0,45,19,93,0,1.97,True,2022-08-30
169,Legal,Female,39,Specialist,2020-05-18 00:00:00,5,High School,4,6300,53,17,23,5,47,14,84,0,4.25,True,2019-11-23
169,Legal,Female,39,Specialist,2018-06-04 00:00:00,5,High School,4,6300,53,17,23,5,80,14,84,0,4.25,False,
171,Engineering,Male,23,Manager,2016-11-18 00:00:00,1,Bachelor,3,7800,57,49,9,11,56,13,52,2,4.72,False,
172,Finance,Male,22,Developer,2019-01-27 00:00:00,9,Bachelor,2,6000,52,23,17,3,54,6,50,2,3.63,False,
173,Operations,Male,43,Developer,2019-10-22 00:00:00,4,PhD,2,6000,39,17,1,8,79,8,63,1,2.24,False,
174,Marketing,Female,26,Specialist,2023-04-09 00:00:00,4,High School,5,6750,35,30,18,11,49,5,16,0,3.36,False,
175,Customer Support,Female,30,Analyst,2015-03-28 00:00:00,0,Bachelor,2,4800,56,48,21,1,53,2,42,2,3.85,True,2018-12-08
177,HR,Female,54,Consultant,2020-03-30 00:00:00,7,Bachelor,3,7150,40,2,7,8,65,18,99,1,3.79,False,
178,Customer Support,Male,25,Analyst,2019-09-20 00:00:00,7,Bachelor,4,5600,40,42,14,9,55,16,47,0,1.14,True,2021-06-30
178,Customer Support,Male,25,Analyst,2024-05-05 00:00:00,7,Bachelor,4,5600,40,42,14,9,80,16,47,0,1.14,False,
179,Customer Support,Other,48,Technician,2024-08-26 00:00:00,6,Bachelor,2,4200,52,21,8,13,54,19,79,2,1.3,True,2023-02-20
181,Legal,Male,28,Technician,2017-05-13 00:00:00,7,Bachelor,1,3850,36,13,13,5,70,13,67,1,2.39,True,2024-10-30
182,Legal,Male,57,Manager,2017-08-01 00:00:00,0,Bachelor,2,7200,48,38,9,8,64,17,56,2,4.28,False,
186,HR,Female,57,Manager,2018-02-28 00:00:00,1,Bachelor,4,8400,35,37,7,10,79,5,59,2,4.38,False,
187,Legal,Male,38,Engineer,2016-06-25 00:00:00,5,Master,4,8400,41,28,22,6,71,8,38,0,3.08,False,
188,IT,Female,43,Specialist,2017-04-13 00:00:00,2,High School,2,5400,54,14,8,9,71,11,97,2,4.01,False,
188,IT,Female,43,Specialist,2024-08-02 00:00:00,2,High School,2,5400,54,14,8,9,58,11,97,2,4.01,True,2022-10-29
190,Operations,Female,41,Consultant,2018-05-28 00:00:00,2,Bachelor,1,6050,39,24,24,6,44,12,4,0,3.85,True,2024-06-10
190,Operations,Female,41,Consultant,2022-05-14 00:00:00,2,Bachelor,1,6050,39,24,24,6,72,12,4,0,3.85,False,
191,HR,Female,37,Analyst,2015-01-15 00:00:00,8,Bachelor,4,5600,46,18,0,9,30,10,12,0,2.32,True,2022-01-30
192,Engineering,Female,36,Analyst,2023-07-27 00:00:00,3,Bachelor,2,4800,39,49,24,14,54,15,64,1,3.84,True,2021-03-07
192,Engineering,Female,36,Analyst,2018-10-19 00:00:00,3,Bachelor,2,4800,39,49,24,14,47,15,64,1,3.84,False,
193,Finance,Male,54,Specialist,2022-02-15 00:00:00,4,Bachelor,1,4950,59,2,22,3,36,4,99,0,3.94,True,2020-04-01
194,IT,Female,45,Analyst,2023-07-18 00:00:00,3,Bachelor,2,4800,57,28,26,2,38,15,85,0,1.48,True,2023-08-26
195,IT,Female,56,Specialist,2022-05-21 00:00:00,7,Master,5,6750,53,19,22,4,53,2,61,0,2.51,True,2021-07-19
196,Legal,Female,39,Engineer,2016-03-17 00:00:00,1,Master,5,9000,59,16,24,2,58,1,26,1,1.59,True,2022-07-08
197,HR,Male,44,Technician,2020-12-26 00:00:00,2,High School,1,3850,37,9,8,11,30,5,15,2,1.49,True,2021-09-10
198,HR,Female,55,Analyst,2020-01-01 00:00:00,3,Bachelor,5,6000,43,14,22,6,78,17,42,2,3.45,False,
199,IT,Female,52,Developer,2021-04-10 00:00:00,5,Bachelor,1,5500,44,40,28,14,37,12,56,0,3.23,True,2018-08-08
200,Operations,Male,27,Consultant,2017-07-25 00:00:00,3,Master,1,6050,36,4,26,8,41,9,38,2,3.73,False,
200,Operations,Male,27,Consultant,2023-03-30 00:00:00,3,Master,1,6050,36,4,26,8,53,9,38,2,3.73,True,2023-04-28
201,Finance,Male,45,Analyst,2022-07-30 00:00:00,9,Bachelor,5,6000,30,12,14,9,60,8,26,1,2.41,False,
202,Operations,Female,54,Specialist,2021-02-04 00:00:00,5,Bachelor,3,5850,52,28,21,3,54,16,14,2,3.47,True,2020-11-04
203,Engineering,Male,32,Consultant,2019-04-08 00:00:00,8,High School,2,6600,47,5,20,10,70,19,87,1,4.06,False,
204,Customer Support,Male,52,Analyst,2021-04-26 00:00:00,4,Bachelor,2,4800,34,19,18,6,40,14,37,0,2.63,True,2023-12-24
204,Customer Support,Male,52,Analyst,2014-09-21 00:00:00,4,Bachelor,2,4800,34,19,18,6,65,14,37,0,2.63,False,
205,HR,Female,38,Technician,2019-05-13 00:00:00,6,High School,1,3850,32,39,2,2,46,14,40,1,1.25,True,2020-07-04
206,Marketing,Male,50,Engineer,2016-03-05 00:00:00,1,Bachelor,2,7200,44,10,21,0,54,5,88,2,4.9,False,
207,Customer Support,Male,41,Manager,2020-04-09 00:00:00,3,Master,4,8400,55,28,1,14,62,5,66,2,1.02,False,
208,Sales,Female,40,Developer,2017-12-01 00:00:00,7,High School,1,5500,30,20,7,10,43,6,64,1,4.61,False,
208,Sales,Female,40,Developer,2023-08-29 00:00:00,7,High School,1,5500,30,20,7,10,37,6,64,1,4.61,True,2018-01-11
